1.48	2.18399	2.17976	2.18006
1.49	2.18539	2.18103	2.18133
1.5	2.18679	2.1823	2.1826
1.51	2.1882	2.18356	2.18388
1.52	2.18961	2.18483	2.18515
1.53	2.19102	2.1861	2.18643
1.54	2.19243	2.18737	2.1877
1.55	2.19385	2.18863	2.18898
1.56	2.19528	2.1899	2.19026
1.57	2.1967	2.19117	2.19153
1.58	2.19813	2.19244	2.19281
1.59	2.19957	2.1937	2.19409
1.6	2.20101	2.19497	2.19536
1.61	2.20245	2.19624	2.19664
1.62	2.2039	2.19751	2.19792
1.63	2.20535	2.19878	2.1992
1.64	2.2068	2.20005	2.20048
1.65	2.20826	2.20132	2.20175
1.66	2.20972	2.20259	2.20303
1.67	2.21119	2.20386	2.20431
1.68	2.21266	2.20513	2.20559
1.69	2.21413	2.2064	2.20687
1.7	2.21561	2.20767	2.20815
1.71	2.2171	2.20894	2.20943
1.72	2.21859	2.21021	2.21071
1.73	2.22008	2.21148	2.21199
1.74	2.22158	2.21275	2.21328
1.75	2.22308	2.21402	2.21456
1.76	2.22459	2.21529	2.21584
1.77	2.2261	2.21656	2.21712
1.78	2.22762	2.21783	2.2184
1.79	2.22914	2.2191	2.21968
1.8	2.23067	2.22037	2.22097
1.81	2.2322	2.22164	2.22225
1.82	2.23374	2.22291	2.22353
1.83	2.23528	2.22418	2.22482
1.84	2.23683	2.22545	2.2261
1.85	2.23838	2.22672	2.22738
1.86	2.23994	2.22799	2.22867
1.87	2.2415	2.22926	2.22995
1.88	2.24307	2.23053	2.23123
1.89	2.24465	2.23181	2.23252
1.9	2.24623	2.23308	2.2338
1.91	2.24781	2.23435	2.23509
1.92	2.24941	2.23562	2.23637
1.93	2.251	2.23689	2.23766
1.94	2.25261	2.23816	2.23894
1.95	2.25422	2.23943	2.24023
1.96	2.25583	2.2407	2.24151
1.97	2.25745	2.24197	2.2428
1.98	2.25908	2.24324	2.24408
1.99	2.26072	2.24452	2.24537
2	2.26236	2.24579	2.24666
2.01	2.26401	2.24706	2.24794
2.02	2.26566	2.24833	2.24923
2.03	2.26732	2.2496	2.25052
2.04	2.26899	2.25087	2.2518
2.05	2.27066	2.25214	2.25309
2.06	2.27234	2.25341	2.25438
2.07	2.27403	2.25468	2.25566
2.08	2.27572	2.25595	2.25695
2.09	2.27742	2.25722	2.25824
2.1	2.27913	2.25849	2.25953
2.11	2.28085	2.25976	2.26081
2.12	2.28257	2.26103	2.2621
2.13	2.2843	2.2623	2.26339
2.14	2.28604	2.26357	2.26468
2.15	2.28778	2.26485	2.26596
2.16	2.28954	2.26612	2.26725
2.17	2.2913	2.26739	2.26854
2.18	2.29306	2.26866	2.26983
2.19	2.29484	2.26992	2.27112
2.2	2.29662	2.27119	2.27241
2.21	2.29842	2.27246	2.27369
2.22	2.30022	2.27373	2.27498
2.23	2.30202	2.275	2.27627
2.24	2.30384	2.27627	2.27756
2.25	2.30566	2.27754	2.27885
2.26	2.3075	2.27881	2.28014
2.27	2.30934	2.28008	2.28143
2.28	2.31119	2.28135	2.28272
2.29	2.31305	2.28262	2.28401
2.3	2.31491	2.28389	2.28529
2.31	2.31679	2.28515	2.28658
2.32	2.31868	2.28642	2.28787
2.33	2.32057	2.28769	2.28916
2.34	2.32247	2.28896	2.29045
2.35	2.32439	2.29023	2.29174
2.36	2.32631	2.29149	2.29303
2.37	2.32824	2.29276	2.29432
2.38	2.33018	2.29403	2.29561
2.39	2.33213	2.2953	2.2969
2.4	2.33409	2.29656	2.29819
2.41	2.33606	2.29783	2.29948
2.42	2.33804	2.2991	2.30077
2.43	2.34003	2.30037	2.30206
2.44	2.34203	2.30163	2.30335
2.45	2.34404	2.3029	2.30464
2.46	2.34606	2.30416	2.30593
2.47	2.34809	2.30543	2.30722
2.48	2.35013	2.3067	2.30851
2.49	2.35218	2.30796	2.3098
2.5	2.35424	2.30923	2.31109
2.51	2.35632	2.31049	2.31238
2.52	2.3584	2.31176	2.31367
2.53	2.36049	2.31302	2.31496
2.54	2.3626	2.31429	2.31625
2.55	2.36472	2.31555	2.31754
2.56	2.36684	2.31682	2.31883
2.57	2.36898	2.31808	2.32012
2.58	2.37113	2.31935	2.32141
2.59	2.3733	2.32061	2.3227
2.6	2.37547	2.32187	2.32399
2.61	2.37766	2.32314	2.32528
2.62	2.37985	2.3244	2.32657
2.63	2.38206	2.32566	2.32786
2.64	2.38429	2.32692	2.32915
2.65	2.38652	2.32819	2.33044
2.66	2.38877	2.32945	2.33173
2.67	2.39102	2.33071	2.33302
2.68	2.39329	2.33197	2.33431
2.69	2.39558	2.33324	2.3356
2.7	2.39787	2.3345	2.33689
2.71	2.40018	2.33576	2.33818
2.72	2.40251	2.33702	2.33947
2.73	2.40484	2.33828	2.34076
2.74	2.40719	2.33954	2.34205
2.75	2.40955	2.3408	2.34334
2.76	2.41193	2.34206	2.34463
2.77	2.41432	2.34332	2.34592
2.78	2.41672	2.34458	2.34721
2.79	2.41913	2.34584	2.3485
2.8	2.42156	2.3471	2.34979
2.81	2.42401	2.34836	2.35108
2.82	2.42647	2.34962	2.35237
2.83	2.42894	2.35087	2.35366
2.84	2.43142	2.35213	2.35495
2.85	2.43392	2.35339	2.35624
2.86	2.43644	2.35465	2.35753
2.87	2.43897	2.35591	2.35882
2.88	2.44151	2.35716	2.36011
2.89	2.44407	2.35842	2.3614
2.9	2.44665	2.35968	2.36269
2.91	2.44924	2.36093	2.36398
2.92	2.45184	2.36219	2.36526
2.93	2.45447	2.36344	2.36655
2.94	2.4571	2.3647	2.36784
2.95	2.45975	2.36595	2.36913
2.96	2.46242	2.36721	2.37042
2.97	2.4651	2.36846	2.37171
2.98	2.4678	2.36972	2.373
2.99	2.47052	2.37097	2.37429
3	2.47325	2.37223	2.37558
3.01	2.476	2.37348	2.37687
3.02	2.47876	2.37473	2.37815
3.03	2.48155	2.37599	2.37944
3.04	2.48434	2.37724	2.38073
3.05	2.48716	2.37849	2.38202
3.06	2.48999	2.37974	2.38331
3.07	2.49284	2.381	2.3846
3.08	2.49571	2.38225	2.38588
3.09	2.49859	2.3835	2.38717
3.1	2.50149	2.38475	2.38846
3.11	2.50441	2.386	2.38975
3.12	2.50735	2.38725	2.39104
3.13	2.5103	2.3885	2.39232
3.14	2.51328	2.38975	2.39361
3.15	2.51627	2.391	2.3949
3.16	2.51928	2.39225	2.39619
3.17	2.52231	2.3935	2.39748
3.18	2.52535	2.39475	2.39876
3.19	2.52842	2.39599	2.40005
3.2	2.5315	2.39724	2.40134
3.21	2.53461	2.39849	2.40262
3.22	2.53773	2.39974	2.40391
3.23	2.54087	2.40098	2.4052
3.24	2.54403	2.40223	2.40649
3.25	2.54721	2.40348	2.40777
3.26	2.55041	2.40472	2.40906
3.27	2.55363	2.40597	2.41035
3.28	2.55687	2.40721	2.41163
3.29	2.56014	2.40846	2.41292
3.3	2.56342	2.4097	2.4142
3.31	2.56672	2.41095	2.41549
3.32	2.57004	2.41219	2.41678
3.33	2.57338	2.41344	2.41806
3.34	2.57675	2.41468	2.41935
3.35	2.58013	2.41592	2.42063
3.36	2.58354	2.41717	2.42192
3.37	2.58696	2.41841	2.42321
3.38	2.59041	2.41965	2.42449
3.39	2.59388	2.42089	2.42578
3.4	2.59737	2.42213	2.42706
3.41	2.60089	2.42338	2.42835
3.42	2.60442	2.42462	2.42963
3.43	2.60798	2.42586	2.43092
3.44	2.61156	2.4271	2.4322
3.45	2.61516	2.42834	2.43349
3.46	2.61879	2.42958	2.43477
3.47	2.62244	2.43082	2.43606
3.48	2.62611	2.43206	2.43734
3.49	2.6298	2.43329	2.43862
3.5	2.63352	2.43453	2.43991
3.51	2.63726	2.43577	2.44119
3.52	2.64102	2.43701	2.44248
3.53	2.64481	2.43824	2.44376
3.54	2.64862	2.43948	2.44504
3.55	2.65246	2.44072	2.44633
3.56	2.65632	2.44195	2.44761
3.57	2.6602	2.44319	2.44889
3.58	2.66411	2.44442	2.45018
3.59	2.66804	2.44566	2.45146
3.6	2.672	2.44689	2.45274
3.61	2.67598	2.44813	2.45403
3.62	2.67999	2.44936	2.45531
3.63	2.68402	2.4506	2.45659
3.64	2.68808	2.45183	2.45787
3.65	2.69217	2.45306	2.45915
3.66	2.69628	2.4543	2.46044
3.67	2.70041	2.45553	2.46172
3.68	2.70457	2.45676	2.463
3.69	2.70876	2.45799	2.46428
3.7	2.71298	2.45922	2.46556
3.71	2.71722	2.46045	2.46684
3.72	2.72149	2.46168	2.46813
3.73	2.72578	2.46291	2.46941
3.74	2.7301	2.46414	2.47069
3.75	2.73445	2.46537	2.47197
3.76	2.73883	2.4666	2.47325
3.77	2.74323	2.46783	2.47453
3.78	2.74766	2.46906	2.47581
3.79	2.75212	2.47029	2.47709
3.8	2.75661	2.47151	2.47837
3.81	2.76113	2.47274	2.47965
3.82	2.76567	2.47397	2.48093
3.83	2.77024	2.47519	2.48221
3.84	2.77484	2.47642	2.48349
3.85	2.77947	2.47765	2.48477
3.86	2.78413	2.47887	2.48605
3.87	2.78882	2.4801	2.48733
3.88	2.79354	2.48132	2.48861
3.89	2.79829	2.48255	2.48988
3.9	2.80306	2.48377	2.49116
3.91	2.80787	2.48499	2.49244
3.92	2.81271	2.48622	2.49372
3.93	2.81758	2.48744	2.495
3.94	2.82247	2.48866	2.49628
3.95	2.8274	2.48988	2.49755
3.96	2.83236	2.4911	2.49883
3.97	2.83735	2.49233	2.50011
3.98	2.84237	2.49355	2.50139
3.99	2.84743	2.49477	2.50266
4	2.85251	2.49599	2.50394
4.01	2.85763	2.49721	2.50522
4.02	2.86278	2.49843	2.50649
4.03	2.86796	2.49965	2.50777
4.04	2.87317	2.50086	2.50905
4.05	2.87841	2.50208	2.51032
4.06	2.88369	2.5033	2.5116
4.07	2.889	2.50452	2.51288
4.08	2.89434	2.50573	2.51415
4.09	2.89972	2.50695	2.51543
4.1	2.90513	2.50817	2.5167
4.11	2.91057	2.50938	2.51798
4.12	2.91605	2.5106	2.51925
4.13	2.92156	2.51181	2.52053
4.14	2.92711	2.51303	2.5218
4.15	2.93269	2.51424	2.52308
4.16	2.9383	2.51546	2.52435
4.17	2.94395	2.51667	2.52563
4.18	2.94963	2.51788	2.5269
4.19	2.95535	2.5191	2.52817
4.2	2.9611	2.52031	2.52945
4.21	2.96689	2.52152	2.53072
